o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment,c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
10659,397,F,290769.79,1994-05-15,1-URGENT,Clerk#000000587,0,boost slyly except the even de,397,Customer#000000397,ns9YphhSV8Fpn8,7,17-103-357-8777,709.46,FURNITURE,dolites? bold packages haggle carefully after the slyly enticing packages. blithely bo
10752,199,O,223930.05,1995-09-11,1-URGENT,Clerk#000000610,0,efully final notornis integrate blithely across the ca,199,Customer#000000199,"Gp6XuGF0QTNR72EYr6tHobo5exDjgBB0Rj4,3",4,14-136-924-5232,7654.31,FURNITURE,egrate furiously along the carefully special pinto beans. packages sublate furiously. brave acco
10817,712,O,213714.56,1996-12-09,1-URGENT,Clerk#000000852,0,usual theodolites. reg,712,Customer#000000712,sSvYBjIqWv5qJyHrN39,6,16-843-486-5087,8667.09,BUILDING,unts. carefully bold courts haggle furiously among the slyly regular deposits? ironic warthogs wake furiously accord
10819,571,F,79971.29,1993-08-25,1-URGENT,Clerk#000000144,0,ve the furiously regular instructions use slyly furiously regular accounts. ,571,Customer#000000571,Ko nnAeskJ QU0VhW k3b,2,12-115-414-4819,8993.23,HOUSEHOLD,"silent, brave ideas after the blithely ironic accounts b"
10849,56,O,309269.38,1997-01-31,1-URGENT,Clerk#000000279,0,ourts boost quickly up the requests. furiously even frets use sl,56,Customer#000000056,qh212iaGWtoVp,10,20-895-685-6920,6530.86,FURNITURE, quickly final dependencies. even dependencies are slyly regularly silent theodolites. slow a
10855,608,O,227086.67,1997-07-16,1-URGENT,Clerk#000000149,0,ruthless packages. furiously ironi,608,Customer#000000608,GxeiZiBL  jfomM8KsSGSSs,16,26-767-193-8671,2256.36,BUILDING,the foxes. carefully pending accounts sleep. busily even deposits wake furiously carefully unusual accounts. furiou
10917,251,F,127026.23,1992-02-11,1-URGENT,Clerk#000000078,0,ly pending requests along the accounts wake blithely alongside of the furious,251,Customer#000000251,"2RLNaFw,ToYGrJuwyRDOKJxaIBoWvCvSVzMTm4Tf",13,23-975-623-5949,9585.32,HOUSEHOLD,cing accounts. furiously final packages cajole. busily final theodolites sleep alongside of the carefully i
10983,599,O,106734.94,1997-02-06,1-URGENT,Clerk#000000299,0,e before the carefully unusual foxes! final ,599,Customer#000000599,"MiwBsR,yF3r5HcqcG4dV1nI6,ocWMVeGLKcG3Bni",4,14-916-825-6916,6004.52,HOUSEHOLD,ackages after the accounts use blithely slyly quiet foxes: carefully silent accounts are slyly
11140,988,O,194048.42,1997-07-26,1-URGENT,Clerk#000000117,0,the foxes affix among the furiously regular deposits. carefully quiet deposit,988,Customer#000000988,"Ypd2gn6tePtLPW,9m rSd7P",3,13-862-722-3298,7746.97,FURNITURE,ithely regular instructions are fluffily according to the blithely final deposits: deposits are around the furiously
11170,736,O,152992.55,1997-07-30,1-URGENT,Clerk#000000832,0,g pinto beans kindle. carefully thin account,736,Customer#000000736,tadzVNYQlO62SeILlampzCoQaSM,1,11-617-726-2039,9114.68,MACHINERY,ons after the idly special accounts ought to are p
11171,730,O,104672.68,1995-07-17,1-URGENT,Clerk#000000792,0,e final requests. carefully regular dependencies affix against the sil,730,Customer#000000730,"d9bUCM6vtn,",2,12-513-973-2702,4718.23,AUTOMOBILE,le slyly furiously regular accounts. furiously regular instructions are. unusual d
11173,319,F,179045.62,1992-03-31,1-URGENT,Clerk#000000815,0,. carefully regular foxes are blithely. blithely ironic packages sleep int,319,Customer#000000319,s6aVEmXzNC27Y,6,16-734-928-1642,1834.36,FURNITURE,"ke. final accounts sleep: regular, final accounts are. carefully even Ti"
11200,956,O,113819.4,1997-02-07,1-URGENT,Clerk#000000417,0,deposits cajole furiously final deposits. furiously ironic inst,956,Customer#000000956,RiZYP f8NZ3WNiuZeMVpgPkno2bDr,20,30-627-947-8311,1587.14,HOUSEHOLD, carefully across the express requests. carefully final multipliers according to th
11232,661,O,77549.43,1996-02-01,1-URGENT,Clerk#000000676,0,e express requests. blithely regular ideas sleep furiousl,661,Customer#000000661,",eA4xy95eVuVdF7,GQGvHM",4,14-983-203-6472,1735.44,HOUSEHOLD, accounts wake blithely. express dino
11238,535,O,126764.0,1996-07-23,1-URGENT,Clerk#000000809,0, beans sleep about the courts. express instructions are above the fluffily ,535,Customer#000000535,1Y2rGHFB bRzmBUoOyJ6JPz,2,12-787-866-1808,2912.8,BUILDING,reful requests dazzle sheaves. pac
11239,475,F,310241.51,1992-02-10,1-URGENT,Clerk#000000240,0,ress packages nag furiou,475,Customer#000000475,ihePHVEtf6teFP6FKUXJeylwWC4fSDB,14,24-485-422-9361,9043.55,BUILDING, are furiously ironic ideas. blithely special requests sleep q
11268,43,O,189596.87,1998-06-30,1-URGENT,Clerk#000000130,0,deposits boost. pinto beans by ,43,Customer#000000043,Dx8PHkGSFJWLg3XtkzCX28iHRrQXbCRlN,19,29-316-665-2897,9904.28,MACHINERY,ronic pinto beans. packages sleep. furiously ruthless packages print blithely fluffily even platelets.
11328,466,F,18702.67,1992-03-21,1-URGENT,Clerk#000000101,0, regular pinto beans. blithely pending escapades are. quic,466,Customer#000000466,2iZOS11QDMLmxVonaudLW0PGx3bvDTkThigU,12,22-280-738-3240,3168.41,MACHINERY,accounts around the slyly even courts grow about the regular accounts. regular
11360,886,O,67314.59,1997-09-07,1-URGENT,Clerk#000000561,0,lar pinto beans. pending acco,886,Customer#000000886,"bc7kPlbhHdcnTi Mqifq,NQ",12,22-771-691-7229,1194.33,AUTOMOBILE,silently regular foxes wake furiously among the slowly final ideas. carefully regular requests haggle 
11361,442,F,251600.98,1994-09-28,1-URGENT,Clerk#000000345,0,counts nag furiously across the carefully ironic requests. slyly express idea,442,Customer#000000442,AwKQtMhlfcZOHser,1,11-240-523-8711,4157.0,FURNITURE, carefully pending packages wake slyly across the requests. sometimes final depo
11364,163,O,107551.91,1997-03-11,1-URGENT,Clerk#000000582,0,"ter the blithely final requests. final, pending deposi",163,Customer#000000163,"dK kOdDEWvKN,L",21,31-863-349-4121,2948.61,FURNITURE,ins cajole fluffily carefully final requests. ca
11367,418,F,18148.48,1994-12-17,1-URGENT,Clerk#000000566,0,"s play fluffily around the special, pending requests. slyly regular accou",418,Customer#000000418,"1M,ASZN crAK5j3k h9a0ln 9D6cF",5,15-826-508-1218,1211.39,FURNITURE,accounts haggle quickly doggedly special packages; idly pending ideas a
11395,940,O,46826.01,1997-08-26,1-URGENT,Clerk#000000306,0,"ven, final dependencies believe furiously furiously idl",940,Customer#000000940,8T9c3q3NQH90wGvuX5xoTvdwq,19,29-958-573-1004,253.59,AUTOMOBILE,its serve stealthily alongside of the unusual packages. slyly bold sentiments wake. bold foxes are slyly
11490,745,O,66256.76,1996-09-27,1-URGENT,Clerk#000000489,0,"ironic, silent accounts affix carefully",745,Customer#000000745,xHxjwogNQCFzIwtsF,18,28-913-438-9403,7115.14,FURNITURE, express frets. pending pearls integrate carefully alongside of the 
11521,55,O,19730.0,1996-09-09,1-URGENT,Clerk#000000010,0,are slyly furiously ironic deposits. fu,55,Customer#000000055,ti9p9XgdmFsjsQI6XQrISDUMFAusnmKS SBoCE,10,20-180-440-8525,4572.11,MACHINERY,dolites. bold instructions wake fluffily regular ideas. regular theodolites are furiously carefully unusual ac
11559,931,O,54171.71,1995-09-26,1-URGENT,Clerk#000000582,0,"ncies nag even, unusual asymptotes. always bol",931,Customer#000000931,f0F45RLAN9jc0r4Eqtffz,0,10-349-498-1720,2409.69,BUILDING,"in pending, ironic theodolites. furiously"
11618,356,O,126867.4,1998-02-04,1-URGENT,Clerk#000000594,0,to beans use slyly caref,356,Customer#000000356,S9Ld37hIwg8CDfYQBZMkWi7,10,20-415-457-4421,2934.06,FURNITURE,inal decoys cajole furiously regular accounts
11655,910,O,184768.86,1998-06-27,1-URGENT,Clerk#000000614,0,"ular packages. special, ironic theodolites wake. carefully final idea",910,Customer#000000910,bKS7h8o7ZEiRj,9,19-899-463-4292,5794.69,BUILDING, silent deposits are. blithely final foxes cajole slyly according to the furiously re
11681,857,F,246493.05,1992-10-17,1-URGENT,Clerk#000000485,0,rate furiously alongside of the regular depen,857,Customer#000000857,"8looeG8mt jy2wm2t,USeJ 6uis",5,15-856-649-3113,7537.16,AUTOMOBILE,y pinto beans. slyly even foxes sleep furiously. quickly ironic deposits according to t
11744,127,O,183922.62,1996-07-05,1-URGENT,Clerk#000000197,0,pecial ideas. slyly regular acc,127,Customer#000000127,4tKMWo3Y 3hu3ttNZ1WTgMf5m3efLWqLOH,21,31-101-672-2951,9280.71,MACHINERY,should use slyly among the blithely regular pinto beans. furiously unusual dependenc
11780,28,F,129283.92,1993-09-22,1-URGENT,Clerk#000000793,0,al pinto beans cajole. slyly regular accounts boost quickly,28,Customer#000000028,"J5tK,OQa07KQSuY5b4qRFYVYRF",8,18-774-241-1462,1007.18,FURNITURE,r accounts are quickly. boldly bold foxes haggle
11813,376,F,211762.16,1994-02-10,1-URGENT,Clerk#000000813,0,y express pinto beans haggle slyly aft,376,Customer#000000376,Xdvzwma6r7XE8Ksx6Z9uZ1yjcltQdtKM,16,26-437-952-8986,4231.45,AUTOMOBILE,inal deposits. pending deposits integrate blithely. furiously even p
11840,596,F,283439.67,1994-08-15,1-URGENT,Clerk#000000466,0,unts. final accounts cajol,596,Customer#000000596,KCpta6YhOJGi4Lscl4Si0Eoi,5,15-484-811-5482,1722.88,MACHINERY, slyly unusual deposits. fluffily regular ideas are even deposits. permanently even deposits use. brav
11845,887,O,125342.31,1997-03-29,1-URGENT,Clerk#000000902,0,ely regular deposits haggle quickly about the silent Tiresias. carefully reg,887,Customer#000000887,"pCiDF,LELVfH2DZWqNq",1,11-136-651-8293,7009.42,MACHINERY,ully regular platelets against the ironic packages hang furiously ironic instructions. furiously bold ac
11911,355,F,219307.51,1993-11-11,1-URGENT,Clerk#000000563,0,"al, regular excuses x-ray fluffily ironic ideas. even, unusual p",355,Customer#000000355,"Z,V X4KR14Ib1d3,s",14,24-656-787-6091,8727.9,FURNITURE,gle quickly blithely express requests. quickly express pinto bean
11936,749,O,167898.6,1995-09-16,1-URGENT,Clerk#000000869,0,ckages. carefully ironic deposits integrate quick,749,Customer#000000749,7Znwx0ATRXR,24,34-158-697-9591,7491.42,MACHINERY," fluffily alongside of the quickly final theodolites. furiously special packages haggle slyly bold, bo"
11938,67,O,161199.79,1998-07-25,1-URGENT,Clerk#000000911,0,ly ironic foxes are ,67,Customer#000000067,"ALk,OdKy V5SruigGvBRMBo8S",9,19-403-114-4356,8166.59,MACHINERY, special sentiments. pending depen
11941,659,F,157391.9,1993-06-25,1-URGENT,Clerk#000000392,0,carefully. furiously ironic accounts wake against the slyly slow plate,659,Customer#000000659,8J9REJcMNbyv5m1usrXefHjbvq,0,10-834-287-1466,5297.68,HOUSEHOLD,"ests lose blithely. deposits cajole blithely for the regular, final requests. express requests haggle bl"
11970,937,O,255762.04,1998-05-24,1-URGENT,Clerk#000000885,0, furiously ironic packages cajole,937,Customer#000000937,yz kUDJNb9dtNRSPR,23,33-869-990-3946,668.51,AUTOMOBILE,y final ideas against the ideas cajole blithely fl
11975,322,O,230472.15,1995-04-14,1-URGENT,Clerk#000000551,0,haggle quickly. slowly final ideas wa,322,Customer#000000322,Q49touHjVcMk3,20,30-660-202-7517,4489.98,HOUSEHOLD,sts-- slyly special platelets cajole blithely blithely pending pinto b
12071,956,O,100260.23,1998-06-26,1-URGENT,Clerk#000000205,0, deposits nag carefully among the req,956,Customer#000000956,RiZYP f8NZ3WNiuZeMVpgPkno2bDr,20,30-627-947-8311,1587.14,HOUSEHOLD, carefully across the express requests. carefully final multipliers according to th
12097,118,F,156644.02,1993-11-10,1-URGENT,Clerk#000000239,0," wake unusual, special packages. fluffily regula",118,Customer#000000118,d5DlxktKgRwuXuBLS,18,28-639-943-7051,3582.37,AUTOMOBILE,accounts wake. blithely special accounts boost alongside of the carefully express asymptotes. unusual requests af
12099,112,F,230209.47,1994-09-12,1-URGENT,Clerk#000000042,0,"ts. pending, pending requests haggle q",112,Customer#000000112,aOLKkYPcTaNoDLHBh7Z,19,29-233-262-8382,2953.35,FURNITURE,"uickly. express, ironic accounts are carefully. courts sleep along the blithely i"
12133,361,F,52225.6,1992-04-15,1-URGENT,Clerk#000000634,0,packages along the furious depo,361,Customer#000000361,"G,lSHfh5MUYOP",20,30-164-267-4590,7451.84,BUILDING,ackages engage bold foxes-- slyly final
12167,91,O,60173.82,1998-05-31,1-URGENT,Clerk#000000618,0,s. unusual accounts eat car,91,Customer#000000091,9Sce2m BjvDdjQkqMx8UnrUsJkk1IBAvZPTsA,8,18-239-400-3677,4643.14,AUTOMOBILE,yly ironic foxes lose slyly pending asymptotes. slyly final theodolites nag blithely ar
12192,277,F,27209.81,1994-10-19,1-URGENT,Clerk#000000387,0,"ackages. special requests promise about the pending, regular ideas. ",277,Customer#000000277,"q4kzaNwjG,qL9h5Y99prnFlO",23,33-696-831-5394,8876.1,BUILDING,ly final requests wake carefully! quickly pending ex
12194,271,F,59806.63,1995-03-02,1-URGENT,Clerk#000000922,0,s cajole fluffily: furiously even deposits wake carefully. slyl,271,Customer#000000271,d0jOM6Xr3mUT2u,6,16-621-282-5689,1490.35,MACHINERY, beans. ironic ideas are blithely a
12291,740,O,19328.06,1998-03-23,1-URGENT,Clerk#000000074,0,unts detect blithely carefu,740,Customer#000000740,moM kCzLz4rzp a8tANsfu6aDQaMEPkgkK,10,20-215-156-3727,1733.76,BUILDING,ecial requests around the quickly f
12320,298,O,118435.28,1995-12-21,1-URGENT,Clerk#000000356,0,"e slyly pending requests sleep along the ironic, pending packag",298,Customer#000000298,IlglXwrSQMLmoKTFb0Ayy9Riz882aFn3A,21,31-542-157-4074,3812.84,BUILDING,sits doze about the blithely bold excuses. slyly f
12322,856,P,42466.03,1995-05-12,1-URGENT,Clerk#000000760,0,ies nag orbits. blithely final requests hagg,856,Customer#000000856,4W6TfkW2yntMBJIN,15,25-336-316-9641,6988.55,FURNITURE,"ding, ironic accounts. quickly ironic asymptotes c"
12325,973,F,70150.43,1995-01-05,1-URGENT,Clerk#000000440,0,ding accounts will s,973,Customer#000000973,m7WH7dN5oBF24,0,10-749-928-5415,3229.18,FURNITURE,g the pending platelets-- ideas wake furiously carefully regular dolphins. quickl
12326,506,F,181528.08,1995-02-03,1-URGENT,Clerk#000000765,0, silently pending excuses u,506,Customer#000000506,O7rGlRhvvZq,13,23-895-781-8227,1179.85,HOUSEHOLD,ronic packages. blithely special foxes haggle quickly even tithes. braids across the fluffily spe
12419,982,O,268861.58,1995-10-16,1-URGENT,Clerk#000000104,0,e ironic deposits. packages wake furiously among the furiou,982,Customer#000000982,ndRQnW3KJYB,23,33-460-986-9418,1437.55,FURNITURE,he blithely express requests use express ideas. bl
12421,673,O,212213.47,1995-11-02,1-URGENT,Clerk#000000203,0, packages use slyly! special deposits boost slyly after the even idea,673,Customer#000000673,"bY8RnD4UEaeVIa,rSnunV6udEc1Gt",4,14-769-230-8609,3942.58,MACHINERY,ckly above the regular deposits. theodolites cajole carefully. regular accounts cajole. eve
12448,511,O,158476.25,1995-11-09,1-URGENT,Clerk#000000711,0, regular accounts; regular accounts ,511,Customer#000000511,GaoRgM4r4TUi2yhIqK81LxdsuI2r 2HXyUFPuL8J,13,23-247-728-9743,4571.31,FURNITURE,"s are furiously ironic requests. ironic, final deposits haggle quickly i"
12454,217,O,42464.91,1997-03-21,1-URGENT,Clerk#000000910,0,nts. fluffily regular packages throughout the ironic accounts hagg,217,Customer#000000217,"3it,VaeNyJA3ANLEdgxN",23,33-159-298-3849,378.33,AUTOMOBILE,ickly. requests nag quickly against the pe
12481,271,O,85849.06,1995-07-11,1-URGENT,Clerk#000000785,0,s solve along the slyly ironic packages. fluffily ironic ,271,Customer#000000271,d0jOM6Xr3mUT2u,6,16-621-282-5689,1490.35,MACHINERY, beans. ironic ideas are blithely a
12483,124,F,153915.13,1993-08-05,1-URGENT,Clerk#000000652,0,thless dolphins sleep slyly across the silent requests. ,124,Customer#000000124,"R7Pt5r4VyoO0w,Rd",18,28-183-750-7809,1842.49,AUTOMOBILE,ing requests haggle. quickly regular dep
12485,188,F,209369.25,1993-08-08,1-URGENT,Clerk#000000994,0,"requests. express, pen",188,Customer#000000188,WS8 zVKmmCoX1LvL3neZdQt9IR82UgS2zwM5v5,5,15-613-528-7811,9533.37,BUILDING,. blithely regular dolphins until
12545,175,O,74242.81,1996-07-01,1-URGENT,Clerk#000000472,0,counts haggle above the quickly ironic requests. even fre,175,Customer#000000175,T2gZ1u7AC2Yve4DnuFWIzbeffURXkBn1PU7,10,20-427-617-9922,1975.35,FURNITURE,unts are slyly final foxes. always p
12549,28,O,100471.72,1997-06-03,1-URGENT,Clerk#000000845,0,t instructions believe ac,28,Customer#000000028,"J5tK,OQa07KQSuY5b4qRFYVYRF",8,18-774-241-1462,1007.18,FURNITURE,r accounts are quickly. boldly bold foxes haggle
12608,301,F,61932.81,1993-03-08,1-URGENT,Clerk#000000087,0,ongside of the pending dolphins. regular packages sleep. slyly un,301,Customer#000000301,mylARpKKV6rs6f,7,17-265-345-9265,9305.05,HOUSEHOLD,braids can detect. furiously brave packages boost. slyly regul
12673,62,F,21911.85,1994-06-12,1-URGENT,Clerk#000000435,0,eas cajole carefully around the blithely pending re,62,Customer#000000062,yBhgYoDvZX1,7,17-361-978-7059,595.61,MACHINERY,e carefully final requests. fluffily regular deposits haggle among the ironic warhors
12711,85,F,80711.39,1992-02-20,1-URGENT,Clerk#000000326,0,e furiously ironic ideas. furiously final account,85,Customer#000000085, I9M GnvICGJ29rTlKGzDMstOgH,5,15-745-585-8219,3386.64,FURNITURE,nts. blithely unusual pinto beans along
12771,451,F,203114.43,1994-01-18,1-URGENT,Clerk#000000548,0,equests sleep slyly quickly ironic requests. furio,451,Customer#000000451,"2hg7o,oG0p0,L21suNdY",20,30-939-275-3248,2110.59,HOUSEHOLD,ously over the instructions. blithely regular excuses
12838,112,O,104930.86,1998-07-01,1-URGENT,Clerk#000000424,0,omise furiously. blithely final packages haggle idly. care,112,Customer#000000112,aOLKkYPcTaNoDLHBh7Z,19,29-233-262-8382,2953.35,FURNITURE,"uickly. express, ironic accounts are carefully. courts sleep along the blithely i"
12896,370,O,321570.67,1996-12-22,1-URGENT,Clerk#000000337,0,"uickly ironic accounts haggle beside the bold, ironic pin",370,Customer#000000370,DtqbDO5rid,12,22-524-280-8721,8982.79,FURNITURE,nstructions. furious requests across the ironic
12903,301,F,89081.29,1994-09-26,1-URGENT,Clerk#000000914,0,iously stealthy pinto beans. slyly even packages use above the carefull,301,Customer#000000301,mylARpKKV6rs6f,7,17-265-345-9265,9305.05,HOUSEHOLD,braids can detect. furiously brave packages boost. slyly regul
12929,917,F,138543.1,1993-08-31,1-URGENT,Clerk#000000397,0,express pinto beans run above the furiously ironic ac,917,Customer#000000917,h1r780DE8lF6aGidEsF3Kva80dOlXvtsV,1,11-100-917-5264,3679.65,HOUSEHOLD,iously slyly express ideas. quickly final ideas above the carefully special requests grow 
12997,520,O,23304.56,1996-05-27,1-URGENT,Clerk#000000085,0,egular instructions was furiously. carefully regular ,520,Customer#000000520,"uQckOS5MRYqIWlUN,kOJN6YeEnc3hm0tAtn8rzmq",3,13-612-111-7765,8315.09,HOUSEHOLD,", ironic instructions. furiously express deposits mold fluffily behind the furiously pending d"
13028,685,F,231028.06,1994-04-09,1-URGENT,Clerk#000000687,0,uses. blithely blit,685,Customer#000000685,N9wE2dNFVw,17,27-269-224-9902,2039.84,MACHINERY,ular ideas boost slyly idly bold requests. final instructions sleep. grouches about the regular theodolites haggle b
13057,67,O,102973.85,1997-12-16,1-URGENT,Clerk#000000125,0, furiously furiously pending waters. furiously bold deposits ,67,Customer#000000067,"ALk,OdKy V5SruigGvBRMBo8S",9,19-403-114-4356,8166.59,MACHINERY, special sentiments. pending depen
13061,821,O,76034.36,1997-09-17,1-URGENT,Clerk#000000937,0,dle slyly. ironic r,821,Customer#000000821,"c5N7LmTOLbyMh8,fpDOmWwWPgMb5UW2K",5,15-901-460-2033,2691.42,FURNITURE,"sts wake slyly. blithely final asymptotes wake quickly even ideas. express, special ideas a"
13158,134,F,198301.99,1992-11-21,1-URGENT,Clerk#000000638,0,bold pains cajole blithely along the slyly special deposits. sly,134,Customer#000000134, 6I1TTaoG7bbiogCqRcptG6BYme,11,21-200-159-5932,4608.9,BUILDING,ly regular dolphins haggle blithely. 
13159,784,O,175684.88,1996-12-02,1-URGENT,Clerk#000000262,0,e quickly. furiously ironic pinto beans are furiously ,784,Customer#000000784,NwOk3BPCzcV0AJu,14,24-975-574-2063,3170.47,BUILDING," accounts. pinto beans boost furiously. ironic, bold courts above the quickly"
13189,94,F,2361.93,1995-04-05,1-URGENT,Clerk#000000002,0,posits around the blithely busy theodolites ,94,Customer#000000094,jL5dieRgyG9OhRN7HgXbLVK2ZRlMQ3NvvL,9,19-953-499-8833,5500.11,HOUSEHOLD,"ges wake deposits. unusual, special forges wake. final packages cajole blithely across the special dolphins. "
13251,982,O,123168.81,1997-03-28,1-URGENT,Clerk#000000928,0,"ts cajole final, regular foxes. reques",982,Customer#000000982,ndRQnW3KJYB,23,33-460-986-9418,1437.55,FURNITURE,he blithely express requests use express ideas. bl
13319,425,O,138467.85,1996-01-19,1-URGENT,Clerk#000000158,0,c foxes haggle according to the blithely pending requests?,425,Customer#000000425,GBXQoapgZZBl2,16,26-756-407-4828,5824.88,HOUSEHOLD,"cial deposits use fluffily above the unusual, unusual "
13446,484,O,55646.82,1996-02-29,1-URGENT,Clerk#000000050,0,ts. slyly express accounts sleep slyly along the pendi,484,Customer#000000484,JzEsF7s A9f9k4Epm66HHpzI,20,30-777-953-8902,4245.0,BUILDING,"nal, ironic gifts are against the blithely final foxes-- quickly quick ideas sleep fluffily."
13472,814,O,69332.61,1995-10-27,1-URGENT,Clerk#000000454,0,usual asymptotes are blithely around the reg,814,Customer#000000814,hEeoZENVIc479FJtexZX5yu,15,25-342-269-3824,4011.18,BUILDING, quickly even deposits use according to the always pending requests! slyly fluffy instruct
13569,839,P,187147.11,1995-04-11,1-URGENT,Clerk#000000973,0, deposits. requests grow among the unusual req,839,Customer#000000839,"pJSrv2GV6ghWVp8BZx1fif,1rrS66CFz",22,32-435-825-7973,2924.78,HOUSEHOLD,eposits. ironic deposits haggle furiously carefully regular requests. carefully pending br
13574,151,O,72886.11,1997-11-14,1-URGENT,Clerk#000000472,0,"ove the ironic, quiet accounts boost furiously e",151,Customer#000000151,gFtmyem37UHG10GlbWUj,19,29-433-197-6339,5187.02,HOUSEHOLD,d packages cajole carefully. platelets haggle against the deposit
13635,269,F,121071.76,1994-05-02,1-URGENT,Clerk#000000172,0, even platelets. thinly even theodolites after the regular acc,269,Customer#000000269,iTGflSIbcarrTo5wqEa9CvL1bohYAV9MxY5IZKJ,14,24-570-874-6232,7667.35,MACHINERY,slyly express dolphins. requests sleep slyly above the special p
13637,188,O,66820.97,1995-12-11,1-URGENT,Clerk#000000074,0,s alongside of the deposits us,188,Customer#000000188,WS8 zVKmmCoX1LvL3neZdQt9IR82UgS2zwM5v5,5,15-613-528-7811,9533.37,BUILDING,. blithely regular dolphins until
13668,878,F,218731.0,1992-02-25,1-URGENT,Clerk#000000198,0,"ts haggle carefully at the ideas. ironic, pending packages sleep blithely re",878,Customer#000000878,"K6ojYIxkvGXcy7Ju2SBXWjI,0jLckq",15,25-465-180-9022,8781.53,FURNITURE,the quickly final deposits affix slyly a
13670,226,F,153065.25,1992-05-24,1-URGENT,Clerk#000000988,0,nic pinto beans sleep slyly ironic a,226,Customer#000000226,"8CmEAqR,Les7GfAumK3SfhS7SeGg",3,13-452-318-7709,9008.61,AUTOMOBILE," beans nag above the carefully regular pinto beans. special, stealthy accounts breach slyly furio"
13794,587,F,234351.58,1994-01-05,1-URGENT,Clerk#000000119,0,cies are above the blithely idle dinos. doggedly ruthless p,587,Customer#000000587,iY6vCimasqd7yxpAuk5QLRI487b7B,6,16-585-233-5906,7077.79,AUTOMOBILE,. carefully unusual excuses sleep carefully final dugouts
13799,994,F,142646.96,1993-12-02,1-URGENT,Clerk#000000945,0,refully regular pinto beans cajole fluffily carefully bold deposi,994,Customer#000000994, 1HNM5Wf7RngCBEGwXer4PDPMYK3aRiGCubxr,16,26-638-159-5836,7461.27,HOUSEHOLD,r the blithely ironic excuses. regul
13828,985,F,85589.73,1994-07-13,1-URGENT,Clerk#000000682,0,"ronic, final pinto beans. permanently regular ",985,Customer#000000985,"0yqeM,iop0wyzW88nWMfg",23,33-408-194-5161,2701.21,HOUSEHOLD, foxes. theodolites haggle slyly. ironic instructions boost ironic pinto beans; regular accounts affix sly
13831,740,O,234924.78,1996-04-17,1-URGENT,Clerk#000000204,0,"usual, ironic requests. care",740,Customer#000000740,moM kCzLz4rzp a8tANsfu6aDQaMEPkgkK,10,20-215-156-3727,1733.76,BUILDING,ecial requests around the quickly f
13857,275,O,9265.55,1995-08-15,1-URGENT,Clerk#000000012,0,kly ironic accounts wake ,275,Customer#000000275,fZ6o7h 1fcL8t ,22,32-194-864-6861,5067.31,AUTOMOBILE,"he thin, ironic accounts doze among the pinto beans! final esc"
13925,73,O,162158.06,1997-01-06,1-URGENT,Clerk#000000303,0,onic requests. bravely ironic decoys use. unusual pinto be,73,Customer#000000073,TiJiuAMxW6LUyyVFCKW,0,10-473-439-3214,4288.5,BUILDING, carefully pending packages to the pearls affix quick
13953,388,O,233895.85,1995-06-01,1-URGENT,Clerk#000000337,0,across the furiously bold ,388,Customer#000000388,O5WFAnxL3GmS9,7,17-856-814-6352,1938.05,HOUSEHOLD,sts. quickly final instructions integrate furiously careful
13956,716,P,107050.72,1995-03-13,1-URGENT,Clerk#000000062,0,iously regular theodolites cajole carefully ,716,Customer#000000716,IP3BenO5RH1UOILzp3me4nHm,12,22-501-849-6084,8364.99,AUTOMOBILE,"ffix ironically ironic instructions. even, special reques"
13990,751,O,143454.9,1998-02-07,1-URGENT,Clerk#000000683,0, final accounts. asymptotes detect bl,751,Customer#000000751,Nrc8 AMkUzvTFZyYvqKSyZZn4HrnrR,0,10-658-550-2257,2130.98,FURNITURE,"riously special theodolites boost ironic theodolites-- unusual, ironic accounts cajole ironic instructions: "
14114,895,F,171306.58,1994-04-07,1-URGENT,Clerk#000000397,0,inal theodolites do haggle across the unusual e,895,Customer#000000895,"fnQh TMGk79TRP8UojSL,4K4b7",0,10-933-819-2037,904.43,AUTOMOBILE,y pending accounts sleep thinly. fluffily even packages a
14144,301,O,308016.67,1997-04-26,1-URGENT,Clerk#000000089,0,rve quickly about the slyly final theodolites-- even pl,301,Customer#000000301,mylARpKKV6rs6f,7,17-265-345-9265,9305.05,HOUSEHOLD,braids can detect. furiously brave packages boost. slyly regul
14145,7,O,270751.41,1997-04-17,1-URGENT,Clerk#000000920,0,arefully special packages nag dog,7,Customer#000000007,8OkMVLQ1dK6Mbu6WG9 w4pLGQ n7MQ,18,28-190-982-9759,9561.95,AUTOMOBILE,"ounts. ironic, regular accounts sleep. final requests haggle quickly after the"
14149,73,O,157174.97,1998-01-28,1-URGENT,Clerk#000000303,0,deas breach. slyly even deposits integrate according to the slyly pend,73,Customer#000000073,TiJiuAMxW6LUyyVFCKW,0,10-473-439-3214,4288.5,BUILDING, carefully pending packages to the pearls affix quick
14212,806,F,196439.01,1992-02-17,1-URGENT,Clerk#000000384,0,y ironic platelets. quickly unusual deposits poach among the s,806,Customer#000000806,m7eUYoxHEYqCPFgm2rv,12,22-888-883-2475,6859.28,FURNITURE,y unusual packages-- thinly pending foxes ha
